GuessWord,Max,Median,Average
spots,1437,704.0,599.2976241900648
sprad,1365,462.0,446.1244060475162
sprag,1641,490.0,484.06522678185746
sprat,1295,365.0,392.6958963282937
spred,1255,390.0,403.56371490280776
sprew,1411,444.0,469.3671706263499
sprit,1300,420.0,415.76371490280775
sprod,1386,478.0,486.83153347732184
sprog,1441,589.0,524.4496760259179
sprue,1262,356.0,386.6047516198704
sprug,1483,569.0,589.0699784017279
spuds,1517,938.0,754.6773218142548
spued,1260,464.0,448.7136069114471
spuer,1467,356.0,395.24838012958963
spues,1316,581.0,527.2004319654428
spugs,1511,993.0,782.9913606911447
spule,1067,391.0,386.99913606911446
spume,1125,500.0,471.0552915766739
spumy,1251,818.0,604.0976241900648
spurs,1475,693.0,639.688120950324
sputa,1432,512.0,512.1105831533478
spyal,1691,569.0,528.0665226781857
spyre,1286,341.0,397.0552915766739
squab,1459,645.0,665.1736501079913
squaw,1534,646.0,665.8099352051836
squeg,1492,568.0,560.0172786177105
squid,1400,755.0,652.9516198704104
squit,1333,685.0,565.0963282937365
squiz,1651,898.0,787.6976241900647
stabs,1473,624.0,598.5226781857451
stade,1230,263.0,318.4885529157667
stags,1434,597.0,564.2803455723542
stagy,1300,444.0,406.70064794816415
staig,1352,459.0,426.56889848812096
stane,1165,239.0,283.267818574514
stang,1591,510.0,452.6086393088553
staph,1421,532.0,511.104535637149
staps,1462,616.0,590.542980561555
starn,1220,397.0,350.40561555075595
starr,1070,430.0,379.0194384449244
stars,1419,430.0,473.85442764578835
stats,1408,732.0,592.942980561555
staun,1355,429.0,410.45183585313174
staws,1542,651.0,627.5701943844492
stays,1494,550.0,568.6047516198704
stean,1384,347.0,371.8522678185745
stear,1310,331.0,335.3382289416847
stedd,1496,492.0,578.0730021598272
stede,1265,492.0,392.1904967602592
steds,1518,608.0,580.236717062635
steek,1434,557.0,438.85442764578835
steem,1330,516.0,426.229373650108
steen,1473,439.0,368.0436285097192
steil,1561,389.0,370.4393088552916
stela,1644,379.0,380.84924406047514
stele,1212,405.0,334.2280777537797
stell,1285,405.0,458.3010799136069
steme,1261,516.0,401.65097192224624
stems,1531,571.0,609.3131749460043
stend,1386,413.0,432.40215982721384
steno,1620,374.0,396.05053995680345
stens,1441,439.0,519.5326133909288
stent,1329,439.0,457.2894168466523
steps,1537,540.0,626.8682505399568
stept,1403,540.0,546.9317494600432
stere,1390,391.0,339.63974082073435
stets,1475,633.0,625.5438444924406
stews,1633,570.0,665.9827213822895
stewy,1433,394.0,481.90410367170625
steys,1571,631.0,585.6574514038876
stich,1229,612.0,523.9313174946004
stied,1186,329.0,353.1144708423326
sties,1259,421.0,418.62634989200865
stilb,1401,486.0,487.45572354211663
stile,1358,270.0,303.6539956803456
stime,1232,332.0,361.42505399568034
stims,1456,730.0,632.2354211663067
stimy,1349,549.0,459.9403887688985
stipa,1410,456.0,474.09200863930886
stipe,1236,357.0,372.6915766738661
stire,1184,247.0,296.38315334773216
stirk,1513,428.0,463.8479481641469
stirp,1396,482.0,457.8155507559395
stirs,1408,492.0,501.3879049676026
stive,1348,407.0,413.1231101511879
stivy,1357,600.0,496.629373650108
stoae,990,210.0,263.2868250539957
stoai,1399,378.0,369.044060475162
stoas,1407,445.0,486.76025917926563
stoat,1162,445.0,418.0479481641469
stobs,1512,716.0,657.5563714902808
stoep,1461,306.0,371.9127429805616
stogy,1353,523.0,453.14341252699785
stoit,1274,542.0,447.17969762419006
stoln,1327,442.0,389.9507559395248
stoma,1476,534.0,479.5624190064795
stond,1357,465.0,454.33347732181426
stong,1424,513.0,508.36544276457886
stonk,1536,551.0,521.4483801295896
stonn,1339,613.0,526.3961123110151
stook,1542,749.0,617.570626349892
stoor,1518,497.0,457.9831533477322
stope,1434,306.0,362.0185745140389
stops,1496,704.0,644.0984881209504
stopt,1234,704.0,551.1529157667387
stoss,1531,841.0,705.6388768898488
stots,1441,841.0,646.8142548596112
stott,1262,841.0,605.1053995680346
stoun,1404,479.0,479.38142548596113
stoup,1471,557.0,551.9848812095032
stour,1325,379.0,405.72526997840174
stown,1539,568.0,555.3140388768899
stowp,1599,645.0,630.5473002159828
stows,1524,779.0,704.1438444924406
strad,1368,394.0,401.39222462203026
strae,1183,227.0,289.27127429805614
strag,1422,492.0,436.4393088552916
strak,1546,449.0,460.57883369330455
strep,1316,382.0,391.00475161987043
strew,1524,386.0,420.2622030237581
stria,1396,394.0,378.61295896328295
strig,1414,485.0,460.8095032397408
strim,1450,482.0,462.0492440604752
strop,1458,485.0,477.01252699784015
strow,1559,542.0,523.4496760259179
stroy,1376,364.0,389.2090712742981
strum,1507,557.0,534.9403887688985
stubs,1555,855.0,749.542980561555
stude,1280,376.0,400.4730021598272
studs,1522,779.0,685.8708423326134
stull,1292,655.0,548.2790496760259
stulm,1464,544.0,538.954211663067
stumm,1565,853.0,760.2967602591792
stums,1532,853.0,736.355939524838
stuns,1466,714.0,624.0168466522679
stupa,1484,528.0,544.680777537797
stupe,1462,416.0,426.8863930885529
